pastorId,pastorName,traits
24,John Ortberg,Topic-based|Bible view: Salvation-scope inerrancy|Non-charismatic|Deep teaching|Calm|Newcomer-friendly|Worship: Band-led|Long sermons
25,Tim Keller,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Deep teaching|Calm|Newcomer-friendly|Worship: Hymns/Choir-led|Long sermons
26,Anne Graham Lotz,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Practical|Energetic|Newcomer-friendly|Worship: Hymns/Choir-led|Long sermons
27,Priscilla Shirer,Verse-by-verse|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
28,Shane Claiborne,Topic-based|Bible view: Salvation-scope inerrancy|Non-charismatic|Practical|Energetic|Newcomer-friendly|Worship: Hymns/Choir-led|Short sermons
29,Tony Evans,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Deep teaching|Energetic|Member-focused|Worship: Hymns/Choir-led|Long sermons
30,Ed Young,Topic-based|Bible view: Strict inerrancy|Non-charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Short sermons
31,Creflo Dollar,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
32,John Hagee,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Member-focused|Worship: Hymns/Choir-led|Long sermons
33,Tony Campolo,Topic-based|Bible view: Salvation-scope inerrancy|Non-charismatic|Practical|Energetic|Newcomer-friendly|Worship: Hymns/Choir-led|Long sermons
34,David Jeremiah,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Deep teaching|Calm|Member-focused|Worship: Hymns/Choir-led|Long sermons
35,Mark Driscoll,Verse-by-verse|Bible view: Strict inerrancy|Charismatic|Deep teaching|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
36,Russell Moore,Verse-by-verse|Bible view: Strict inerrancy|Non-charismatic|Deep teaching|Calm|Member-focused|Worship: Hymns/Choir-led|Long sermons
37,John Eldredge,Topic-based|Bible view: Salvation-scope inerrancy|Charismatic|Practical|Calm|Newcomer-friendly|Worship: Band-led|Short sermons
38,Bishop Michael Curry,Topic-based|Bible view: Salvation-scope inerrancy|Non-charismatic|Practical|Energetic|Newcomer-friendly|Worship: Hymns/Choir-led|Short sermons
39,Paula White,Topic-based|Bible view: Strict inerrancy|Charismatic|Practical|Energetic|Newcomer-friendly|Worship: Band-led|Long sermons
